City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,vorgashor,83.9264,62.9067,22,93,100,4.83,ru,1682651269
88,port alfred,-57.7902,33.7816,32,100,100,1.37,za,1682651269
89,mount pearl,35.3124,-45.7228,60,64,100,7.92,ca,1682651269
90,susuman,61.9901,149.9598,31,80,99,3.26,ru,1682651269
91,tazacorte,25.2948,-20.9066,70,74,0,4.81,es,1682651270
92,aral,40.1525,81.4761,66,13,99,3.9,cn,1682651270
93,forster,-33.2507,154.0296,70,73,100,8.73,au,1682651270
94,nar'yan-mar,66.4165,52.9554,21,91,58,3.38,ru,1682651271
95,sinabang,-0.8448,90.0373,83,77,100,3.46,id,1682651271
96,norwich,42.5594,-75.6558,45,81,64,1.6,us,1682651271
97,bengkulu,-7.2579,98.7048,82,79,94,3.46,id,1682651271
98,hermanus,-66.7018,10.3711,15,63,1,7.28,za,1682651271
99,wewak,-2.7561,144.2479,84,71,96,1.49,pg,1682651272
100,badger,79.7512,-144.2796,0,91,21,2.42,us,1682651272
101,hawaiian paradise park,13.6217,-146.6984,75,73,86,5.89,us,1682651272
102,namibe,-13.653,11.1486,77,77,23,6.24,ao,1682651272
103,nemuro,32.1765,158.9659,61,79,100,7.28,jp,1682651272
104,gondar,12.4602,37.2637,64,72,100,1.07,et,1682651273
105,alegrete,-30.2231,-55.9456,60,77,79,1.42,br,1682651273
106,kenora,50.9512,-94.2928,35,96,100,2.31,ca,1682651273
107,tofol,2.7088,163.8009,85,74,100,6.61,fm,1682651273
108,saint-pierre,38.8734,-54.229,54,64,100,5.13,pm,1682651274
109,barentu,14.9799,37.1739,80,47,40,0.98,er,1682651274
110,jinchang,38.6645,101.8965,33,17,0,8.3,cn,1682651274
111,crossett,33.1147,-91.5098,66,92,3,3.3,us,1682651274
112,cockburn town,25.628,-66.1027,74,73,13,4.76,tc,1682651275
113,volodarskiy,46.3964,48.7864,63,45,7,3.18,ru,1682651275
114,oriximina,0.0395,-55.4601,71,99,100,1.16,br,1682651275
115,tsiombe,-42.8649,46.8042,56,84,100,15.89,mg,1682651275
116,east london,-37.6863,31.1686,65,58,0,7.88,za,1682651275
117,torrington,42.9536,-104.1101,41,77,89,8.86,us,1682651276
118,hilo,27.1953,-148.6086,68,59,0,1.05,us,1682651276
119,petropavlovsk-kamchatsky,33.9134,169.4139,63,88,100,7.68,ru,1682651276
120,danjiangkou,33.0866,111.6386,66,44,98,6.9,cn,1682651276
121,cargados carajos,-13.4805,63.2517,81,75,57,4.64,mu,1682651277
122,ilulissat,76.1924,-42.0051,-26,100,99,5.44,gl,1682651277
123,mount isa,-20.0899,138.6182,88,27,5,3.88,au,1682651277
124,richfield,39.0272,-112.9772,66,23,85,6.3,us,1682651277
125,zouerate,22.8757,-11.3555,83,21,0,5.28,mr,1682651278
126,lazaro cardenas,25.4317,-123.2769,62,79,100,4.12,mx,1682651278
127,howard springs,-11.221,137.0203,83,71,82,5.88,au,1682651278
128,port saint john's,-34.927,31.3331,68,66,0,6.26,za,1682651278
129,lequile,40.2632,18.1149,55,63,18,5.1,it,1682651278
130,ixtapa,7.6216,-106.7874,83,73,5,1.8,mx,1682651279
131,vila velha,-21.5204,-35.9257,80,81,4,8.37,br,1682651279
132,sittwe,16.8117,90.5616,84,68,27,2.65,mm,1682651279
133,kencong,-14.585,112.4642,82,72,7,8.16,id,1682651279
134,olonkinbyen,72.359,-2.5849,32,96,100,13.93,sj,1682651280
135,coquimbo,-27.8194,-85.6934,69,83,99,7.82,cl,1682651280
136,kalmunai,6.9458,84.4053,85,72,100,4.46,lk,1682651280
137,springs,38.3621,-70.813,57,62,97,3.78,us,1682651281
138,cavnic,47.6149,23.8224,26,82,4,1.25,ro,1682651281
139,sabzevar,36.5002,57.8062,67,25,78,2.9,ir,1682651281
140,georgetown,-5.7548,-23.3964,82,72,100,5.38,sh,1682651282
141,sagae,38.4835,140.2213,64,38,0,1.01,jp,1682651283
142,labytnangi,80.6002,71.3874,15,94,99,1.29,ru,1682651283
143,bom sucesso,-20.9616,-44.8174,62,93,24,0.27,br,1682651283
144,armacao de buzios,-23.8628,-39.3638,78,74,1,4.95,br,1682651284
145,rosalie,15.5507,-60.2977,80,79,14,5.02,dm,1682651284
146,ahau,-11.2767,172.9116,84,73,14,4.21,fj,1682651286
147,swabi,34.316,72.4721,62,54,5,2.2,pk,1682651287
148,haiku-pauwela,23.2144,-154.5021,73,70,31,2.36,us,1682651287
149,port mathurin,-19.3395,62.6973,79,81,59,5.48,mu,1682651288
150,peasedown saint john,51.3688,-2.4417,54,96,100,4.12,gb,1682651288
151,ust-nera,79.2702,150.4258,18,87,100,4.98,ru,1682651288
152,okha,55.0363,145.4434,31,86,100,7.88,ru,1682651289
153,mili,6.2821,176.0231,82,80,16,8.06,mh,1682651289
154,cidreira,-31.8005,-48.1131,72,59,18,8.81,br,1682651290
155,puerto baquerizo moreno,-3.4933,-86.1285,82,77,63,2.88,ec,1682651291
156,kailua-kona,5.338,-161.8996,81,80,100,5.59,us,1682651291
157,chonchi,-46.0028,-86.0516,48,75,100,7.72,cl,1682651292
158,walvis bay,-23.9045,12.2764,65,90,0,9.73,na,1682651292
159,tangalle,-4.443,86.0748,82,78,100,4.92,lk,1682651293
160,lihue,16.8385,-169.3909,78,76,70,9.58,us,1682651293
161,aasiaat,87.161,-57.7407,-2,93,100,7.32,gl,1682651294
162,fort st. john,57.1021,-121.5698,44,61,100,5.22,ca,1682651294
163,kenai,62.0728,-155.6587,38,77,100,3.46,us,1682651295
164,port elizabeth,-46.9554,27.5091,49,83,100,18.29,za,1682651295
165,kaduna,10.7248,7.3578,74,74,99,2.72,ng,1682651296
166,brits,-25.2813,27.7965,67,60,22,1.09,za,1682651296
167,atafu village,10.429,-176.562,81,75,41,8.72,tk,1682651297
168,hamilton,31.1332,-70.822,69,76,85,8.6,bm,1682651297
169,oromocto,45.8666,-66.1447,39,97,99,1.39,ca,1682651298
170,san antonio de pale,-2.306,-1.501,81,79,100,5.37,gq,1682651298
171,hobyo,3.3977,55.3493,83,73,91,2.09,so,1682651299
172,saint-philippe,-24.5894,56.4748,77,71,6,4.47,re,1682651299
173,al burayqah,30.2287,19.105,62,65,0,5.58,ly,1682651300
174,bontang,1.477,117.9483,85,61,97,2.64,id,1682651300
175,ketchikan,51.8108,-135.0242,45,99,100,2.78,us,1682651301
176,fuvahmulah,-0.8877,80.0009,83,76,100,5.95,mv,1682651301
177,inarajan village,11.5829,145.6692,83,80,14,9.17,gu,1682651302
178,bubaque,10.3036,-17.2965,77,76,100,6.87,gw,1682651302
179,vernon,47.065,-131.9421,50,88,6,1.47,ca,1682651303
180,st. john's,46.6204,-45.81,40,86,100,12.08,ca,1682651303
181,'ohonua,-29.3518,-179.7392,69,76,100,13.28,to,1682651304
182,madalena,36.4347,-27.8314,63,78,0,9.53,pt,1682651304
183,port lincoln,-47.788,127.5593,43,65,100,7.71,au,1682651305
184,geraldton,-32.0659,102.2044,62,67,100,9.34,au,1682651306
185,whitehorse,64.2986,-140.4338,33,92,96,1.56,ca,1682651306
186,kavieng,0.0928,149.5296,84,73,84,2.63,pg,1682651306
187,delijan,33.8068,51.2366,58,51,42,0.69,ir,1682651307
188,bamboo flat,13.4217,91.467,85,70,5,2.07,in,1682651308
189,floro,63.6575,1.3153,34,74,100,2.19,no,1682651309
190,dudinka,84.2655,83.173,19,95,98,4.4,ru,1682651311
191,revda,69.7399,37.996,33,75,8,7.99,ru,1682651312
192,freetown,1.0458,-23.1508,82,77,15,4.24,sl,1682651312
193,new ross,52.4575,-7.0397,52,1,100,1.35,ie,1682651313
194,lethem,3.6128,-59.4636,75,88,66,2.01,gy,1682651313
195,cox's bazar,21.3018,91.6583,83,72,19,1.07,bd,1682651313
196,coahuayana de hidalgo,10.7358,-107.0714,82,72,27,4.81,mx,1682651314
197,suoyarvi,63.0792,32.7032,37,93,77,4.74,ru,1682651315
198,thunder bay,56.7232,-87.4069,27,98,100,1.87,ca,1682651315
199,kilindoni,-7.5226,41.5701,81,81,99,8.67,tz,1682651316
200,mitu,2.0517,-69.1547,73,97,71,0.28,co,1682651316
201,puerto san carlos,14.376,-131.139,75,75,47,6.56,mx,1682651317
202,tura,62.2831,97.3753,28,74,47,2.21,ru,1682651317
203,college,68.8257,-152.575,3,90,100,1.44,us,1682651317
204,buala,-8.0052,158.9744,86,62,10,1.91,sb,1682651318
205,keflavik,59.0306,-29.3038,43,90,100,16.13,is,1682651318
206,toliara,-25.7413,41.7425,75,66,70,6.56,mg,1682651319
207,jamestown,-11.9646,0.5477,75,77,100,6.49,sh,1682651320
208,karratha,-18.866,113.1737,80,63,99,4.64,au,1682651320
209,alotau,-11.012,149.7497,83,75,84,5.87,pg,1682651321
210,lompoc,27.748,-130.0032,62,75,13,5.27,us,1682651322
211,ridgecrest,35.7781,-117.761,83,13,40,2.57,us,1682651323
212,muborak,39.0216,64.7349,73,23,0,1.41,uz,1682651324
213,saipan,18.6007,153.9702,78,72,2,8.01,mp,1682651324
214,pingyin,36.4027,116.5701,67,59,100,3.31,cn,1682651325
215,egilsstadir,65.4639,-11.046,31,72,100,9.34,is,1682651325
216,chinde,-19.238,36.2968,79,67,21,3.93,mz,1682651325
217,sioux center,43.1016,-96.3428,56,74,100,4.13,us,1682651325
218,lockwood,46.3593,-108.4108,44,59,40,3.1,us,1682651326
219,akureyri,68.6087,-16.191,26,76,81,8.69,is,1682651326
220,kerikeri,-28.3773,177.4316,67,82,100,13.98,nz,1682651326
221,vilyuchinsk,47.3007,156.5404,35,93,100,7.57,ru,1682651327
222,matoury,4.334,-52.107,72,99,100,0.97,gf,1682651327
223,cooma,-37.2805,149.7095,79,32,87,3.28,au,1682651327
224,bima,-7.9534,118.7822,81,84,100,6.8,id,1682651327
225,mogocha,52.7059,120.305,36,72,100,5.02,ru,1682651328
226,malango,-10.5158,159.6944,83,72,12,1.97,sb,1682651328
227,jiagedaqi,51.0894,124.7349,48,27,100,4.04,cn,1682651328
228,yangjiang,20.5716,112.0278,77,89,8,7.22,cn,1682651328
229,yuzhno-kurilsk,39.5693,157.3171,54,69,0,15.81,ru,1682651329
230,weno,5.2134,145.0345,84,69,48,1.42,fm,1682651329
231,ta`u,-15.5578,-164.3691,82,72,23,6.13,as,1682651329
232,constantia,-49.6905,6.9068,39,85,100,9.71,za,1682651329
233,kirchseeon,48.0987,11.918,47,90,100,1.79,de,1682651330
234,port douglas,-14.8354,143.5746,89,43,4,3.63,au,1682651330
